iter	Passed	Remaining
0	56	28009
1	56	14002
2	56	9338
3	56	7001
4	56	5598
5	56	4663
6	56	3995
7	56	3494
8	56	3105
9	57	2793
10	57	2537
11	57	2325
12	57	2145
13	57	1991
14	57	1857
15	57	1740
16	57	1637
17	57	1545
18	57	1463
19	57	1389
20	58	1322
21	58	1262
22	58	1206
23	58	1156
24	58	1109
25	58	1066
26	58	1026
27	58	989
28	58	954
29	58	922
30	58	891
31	59	863
32	59	837
33	59	815
34	59	791
35	59	769
36	59	748
37	59	728
38	59	708
39	60	690
40	60	673
41	60	657
42	60	641
43	60	626
44	60	613
45	60	599
46	60	587
47	61	574
48	61	562
49	61	550
50	61	539
51	61	529
52	61	518
53	61	509
54	61	499
55	61	490
56	62	483
57	62	474
58	62	465
59	62	457
60	62	449
61	62	442
62	62	434
63	62	427
64	62	420
65	62	413
66	63	407
67	63	401
68	63	395
69	63	389
70	63	383
71	63	377
72	63	372
73	63	366
74	63	361
75	63	356
76	63	351
77	64	346
78	64	341
79	64	337
80	64	332
81	64	328
82	64	323
83	64	319
84	64	315
85	64	311
86	64	307
87	64	303
88	64	300
89	65	296
90	65	292
91	65	289
92	65	285
93	65	282
94	65	279
95	65	276
96	65	272
97	65	269
98	65	266
99	65	263
100	66	260
101	66	257
102	66	255
103	66	252
104	66	249
105	66	247
106	66	244
107	66	242
108	66	239
109	66	237
110	66	234
111	67	232
112	67	230
113	67	227
114	67	225
115	67	223
116	67	221
117	67	218
118	67	216
119	67	214
120	67	212
121	67	210
122	68	208
123	68	206
124	68	204
125	68	202
126	68	200
127	68	199
128	68	197
129	68	195
130	68	193
131	68	192
132	68	190
133	69	188
134	69	186
135	69	185
136	69	183
137	69	182
138	69	180
139	69	178
140	69	177
141	69	175
142	69	174
143	69	172
144	70	171
145	70	169
146	70	168
147	70	167
148	70	165
149	70	164
150	70	163
151	70	161
152	70	160
153	70	159
154	71	158
155	71	156
156	71	155
157	71	154
158	71	153
159	71	151
160	71	150
161	71	149
162	71	148
163	71	147
164	71	146
165	72	144
166	72	143
167	72	142
168	72	141
169	72	140
170	72	139
171	72	138
172	72	137
173	72	136
174	72	135
175	72	134
176	72	133
177	73	132
178	73	131
179	73	130
180	73	129
181	73	128
182	73	127
183	73	126
184	73	125
185	73	124
186	73	123
187	73	122
188	74	122
189	74	121
190	74	120
191	74	119
192	74	118
193	74	117
194	74	117
195	74	116
196	75	115
197	75	114
198	75	113
199	75	113
200	75	113
201	76	112
202	76	111
203	76	110
204	76	109
205	76	109
206	76	108
207	76	107
208	76	106
209	76	106
210	76	105
211	76	104
212	77	103
213	77	103
214	77	102
215	77	101
216	77	101
217	77	100
218	77	99
219	77	98
220	77	98
221	77	97
222	77	96
223	78	96
224	78	95
225	78	94
226	78	94
227	78	93
228	78	92
229	78	92
230	78	91
231	78	90
232	78	90
233	78	89
234	78	89
235	79	88
236	79	87
237	79	87
238	79	86
239	79	86
240	79	85
241	79	84
242	79	84
243	79	83
244	79	83
245	79	82
246	80	81
247	80	81
248	80	80
249	80	80
250	80	79
251	80	79
252	80	78
253	80	78
254	80	77
255	80	77
256	81	76
257	81	76
258	81	75
259	81	75
260	81	74
261	81	74
262	81	73
263	81	73
264	81	72
265	82	72
266	82	71
267	82	71
268	82	70
269	82	70
270	82	69
271	82	69
272	82	68
273	82	68
274	82	67
275	82	67
276	82	66
277	83	66
278	83	65
279	83	65
280	83	64
281	83	64
282	83	64
283	83	63
284	83	63
285	83	62
286	83	62
287	83	61
288	84	61
289	84	60
290	84	60
291	84	60
292	84	59
293	84	59
294	84	58
295	84	58
296	84	57
297	84	57
298	84	57
299	84	56
300	85	56
301	85	55
302	85	55
303	85	55
304	85	54
305	85	54
306	85	53
307	87	54
308	87	53
309	87	53
310	87	53
311	87	52
312	87	52
313	87	51
314	87	51
315	87	51
316	87	50
317	88	50
318	88	49
319	88	49
320	88	49
321	88	48
322	88	48
323	92	50
324	92	49
325	92	49
326	92	49
327	92	48
328	92	48
329	93	48
330	95	48
331	95	48
332	95	47
333	95	47
334	95	47
335	95	46
336	96	46
337	97	46
338	97	46
339	97	45
340	97	45
341	97	45
342	97	44
343	98	44
344	98	44
345	98	43
346	98	43
347	98	42
348	98	42
349	98	42
350	98	41
351	98	41
352	98	41
353	98	40
354	98	40
355	99	40
356	100	40
357	100	40
358	101	39
359	101	39
360	101	38
361	101	38
362	101	38
363	103	38
364	103	38
365	103	38
366	104	37
367	104	37
368	104	37
369	104	36
370	104	36
371	104	36
372	105	35
373	105	35
374	105	35
375	105	34
376	105	34
377	105	34
378	105	33
379	106	33
380	106	33
381	106	32
382	106	32
383	106	32
384	107	31
385	107	31
386	107	31
387	107	31
388	107	30
389	108	30
390	108	30
391	108	29
392	108	29
393	108	29
394	108	28
395	108	28
396	108	28
397	108	27
398	108	27
399	108	27
400	109	26
401	109	26
402	109	26
403	109	26
404	109	25
405	109	25
406	109	25
407	109	24
408	109	24
409	109	24
410	110	23
411	110	23
412	110	23
413	110	22
414	110	22
415	110	22
416	110	22
417	110	21
418	110	21
419	110	21
420	111	20
421	111	20
422	111	20
423	111	19
424	111	19
425	111	19
426	111	19
427	111	18
428	111	18
429	111	18
430	111	17
431	111	17
432	112	17
433	112	17
434	112	16
435	112	16
436	112	16
437	112	15
438	112	15
439	112	15
440	112	15
441	113	14
442	113	14
443	113	14
444	113	14
445	113	13
446	113	13
447	113	13
448	113	12
449	114	12
450	114	12
451	114	12
452	114	11
453	114	11
454	114	11
455	114	11
456	114	10
457	114	10
458	114	10
459	115	10
460	115	9
461	115	9
462	116	9
463	116	9
464	116	8
465	116	8
466	116	8
467	116	7
468	117	7
469	117	7
470	117	7
471	117	6
472	117	6
473	117	6
474	117	6
475	117	5
476	117	5
477	117	5
478	117	5
479	118	4
480	118	4
481	118	4
482	118	4
483	118	3
484	118	3
485	118	3
486	118	3
487	118	2
488	118	2
489	119	2
490	119	2
491	119	1
492	119	1
493	119	1
494	119	1
495	119	0
496	120	0
497	120	0
498	120	0
499	120	0
